ClaimNumber,ExposureNumber,ExposureNumberBefore
023793643,2,3
023807353,0,1
023826831,3,4
024004441,1,2
024005954,1,2
024037229,1,2
024073125,2,3
024081121,0,1
024117608,1,2
024141046,5,6
024149026,0,1
024151660,0,1
024225855,3,4
024234660,0,1
024290536,0,1
024293900,0,1
024316115,3,4
024324635,1,2
024336372,0,1
024347585,2,3
024379931,0,1
024381956,4,5
024401818,0,1
024402907,0,1
024432052,2,3
024432217,2,3
024444884,6,7
024456162,2,3
024466223,0,1
024488800,3,4
024520023,0,1
024524149,2,3
024567625,2,3
024575759,1,2
024595052,2,3
024595283,3,4
024604945,0,1
024607477,0,1
024620295,4,5
024633836,4,5
024634103,0,1
024660631,2,3
024677001,2,3
024747555,2,3
024756148,3,4
024756380,6,7
024770973,1,2
024775422,3,4
024801462,3,4
024815499,3,4
024825423,2,3
024853584,0,1
024867156,1,2
024888201,5,6
024925941,0,1
024928683,1,2
024951696,0,1
024978627,3,4
025000829,6,7
025014019,2,3
025015652,1,2
025027281,0,1
025051924,0,1
025117752,0,1
025139829,2,3
025140366,2,3
025193101,3,4
025253663,3,4
025263612,0,1
025283699,0,1
025285161,2,3
025298459,0,1
025337940,4,5
025348816,1,2
025351475,2,3
025361411,2,3
025369494,2,3
025402088,2,3
025448825,0,1
025459912,0,1
025461589,0,1
025462990,0,1
025463659,0,1
025464335,0,1
025500352,2,3
025536520,0,1
025546842,0,1
025547207,1,2
025548398,0,1
025551315,0,1
025563005,0,1
025861858,0,1
025958611,0,1
025994075,0,1
025997219,0,1
026116856,0,1
026117140,0,1
026231868,0,1
026234287,1,2
026390399,0,1
026485378,0,1
026486434,1,2
026503958,0,1
026529072,0,1
026549092,0,1
026560046,2,3
026626388,4,5
026828106,0,1
026836479,3,4
026838857,4,5
026839804,2,3
026858584,2,3
026917750,0,1
026926258,4,5
026927812,0,1
026966691,2,3
026989134,0,1
026997547,3,4
027008754,0,1
027037226,0,1
027059491,0,1
027105000,0,1
027156711,2,3
027236758,0,1
027250770,0,1
027265581,0,1
027277949,0,1
027295371,1,2
027323514,0,1
027336634,2,3
027349703,2,3
027368280,0,1
027371179,0,1
027427121,0,1
027427956,0,1
027429796,0,1
027477385,3,4
027484503,0,1
027505137,2,3
027516620,5,6
027528219,3,4
027529212,0,1
027529564,1,2
027533258,0,1
027541553,0,1
027569077,0,1
027590615,0,1
027592076,0,1
027668868,5,6
027690316,0,1
027707176,2,3
027724383,6,7
027756981,5,6
027759012,0,1
027765363,0,1
027787071,3,4
027798053,4,5
027802926,0,1
027810160,0,1
027845435,0,1
027845783,2,3
027903689,0,1
027904502,0,1
027912902,0,1
027931206,0,1
027934616,0,1
027941391,0,1
027947384,0,1
027947570,2,3
027979646,4,5
028011987,0,1
028041457,2,3
028065176,4,5
028090402,2,3
028106625,3,4
028108119,0,1
028118529,1,2
028154228,3,4
028158897,4,5
028165920,3,4
028166422,0,1
028193330,0,1
028203911,0,1
028216392,0,1
028243807,2,3
028254600,0,1
028255339,0,1
028255345,0,1
028255396,0,1
028278493,0,1
028312240,3,4
028312930,0,1
028343452,3,4
028367368,0,1
028371178,0,1
028379282,6,7
028389579,2,3
028408923,0,1
028415687,2,3
028424962,2,3
028430264,0,1
028459286,0,1
028478991,1,2
028492428,3,4
028497950,0,1
028498506,0,1
028502796,1,2
028507350,0,1
028511621,2,3
028524110,2,3
028524960,0,1
028534878,0,1
028535633,0,1
028547052,0,1
028551248,0,1
028557596,0,1
028561521,0,1
028561840,0,1
028565032,0,1
028573583,0,1
028587713,0,1
028595673,1,2
028598830,5,6
028609126,0,1
028621088,3,4
028623208,0,1
028636420,0,1
028662514,0,1
028694297,2,3
028718882,0,1
028762618,0,1
028770627,4,5
028774849,0,1
028788412,2,3
028815388,0,1
028824170,0,1
028828047,0,1
028838787,2,3
028843280,2,3
028850666,0,1
028888907,0,1
028890196,0,1
028898709,0,1
028928538,0,1
028928811,0,1
028933936,0,1
028941202,1,2
028942382,3,4
028948158,3,4
028954138,2,3
028954551,3,4
028955439,0,1
028955476,0,1
028956892,0,1
028956936,6,7
028958346,2,3
028958765,3,4
028962277,0,1
028963063,3,4
028965589,2,3
028966432,2,3
028971025,2,3
028971407,0,1
028973977,2,3
028979621,1,2
028984291,0,1
028984537,0,1
028986117,0,1
028989464,0,1
028992028,0,1
028994099,4,5
028994939,3,4
028997420,4,5
028997765,2,3
028997939,1,2
029001569,1,2
029002582,3,4
029003953,1,2
029011186,3,4
029011610,4,5
029011629,0,1
029011747,0,1
029011798,0,1
029012933,0,1
029014612,2,3
029016590,1,2
029022909,0,1
029022970,2,3
029028924,0,1
029030225,0,1
029031998,0,1
029033197,0,1
029038653,2,3
029038996,2,3
029039701,0,1
029043130,0,1
029043316,1,2
029047555,2,3
029047971,0,1
029048650,0,1
